GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Server,fr.ignishky.lotrtcg.controller,CardController,0,13,0,0,0,2,0,2,0,2
Server,fr.ignishky.lotrtcg.controller.model,Card,0,6,0,0,0,2,0,1,0,1
Server,fr.ignishky.lotrtcg,LotrTcgApplication,5,3,0,0,2,1,1,1,1,1
